Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Larry Bird,SF,220,Boston Celtics,United States,1985,East,Fans,6,9,81,1978.0,1.0,6.0
Terry Cummings,PF,220,Milwaukee Bucks,United States,1985,East,Coaches,6,9,81,1982.0,1.0,2.0
Julius Erving,SF,200,Philadelphia Sixers,United States,1985,East,Fans,6,6,78,1972.0,1.0,12.0
Dennis Johnson,PG,185,Boston Celtics,United States,1985,East,Coaches,6,4,76,1976.0,2.0,12.0
Michael Jordan,SG,215,Chicago Bulls,United States,1985,East,Fans,6,6,78,1984.0,1.0,3.0
Bernard King,SF,205,New York Knicks,United States,1985,East,Coaches,6,7,79,1977.0,1.0,7.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1985,East,Coaches,6,11,83,1979.0,3.0,21.0
Moses Malone,C,215,Philadelphia Sixers,United States,1985,East,Fans,6,10,82,,,
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1985,East,Coaches,6,3,75,1979.0,1.0,5.0
Robert Parish,C,230,Boston Celtics,United States,1985,East,Coaches,7,0,84,1976.0,1.0,8.0
Micheal Ray Richardson,PG,189,New Jersey Nets,United States,1985,East,Coaches,6,5,77,1978.0,1.0,4.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1985,East,Fans,6,1,73,1981.0,1.0,2.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2000,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2000,West,Fans,6,11,83,1997.0,1.0,1.0
Michael Finley,G-F,225,Dallas Mavericks,United States,2000,West,Coaches,6,7,79,1995.0,1.0,21.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2000,West,Fans,6,11,83,1995.0,1.0,5.0
Jason Kidd,PG,210,Phoenix Suns,United States,2000,West,Fans,6,4,76,1994.0,1.0,2.0
Karl Malone,PF,265,Utah Jazz,United States,2000,West,Coaches,6,9,81,1985.0,1.0,13.0
