"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Rolando Blackman","DAL","22:00",6,11,0,0,0,0,1,3,4,8,2,1,1,1,12,0.545,NA,NA,"Reserve","West",1986
"Adrian Dantley","UTA","17:00",3,8,0,0,2,2,1,6,7,3,1,0,0,1,8,0.375,NA,1,"Reserve","West",1986
"Alex English","DEN","16:00",8,12,0,0,0,0,1,0,1,2,0,1,0,0,16,0.667,NA,NA,"Reserve","West",1986
"Clyde Drexler","POR","15:00",5,7,0,1,0,0,0,4,4,4,3,1,3,3,10,0.714,0,NA,"Reserve","West",1986
"Hakeem Olajuwon","HOU","15:00",1,8,0,0,1,2,1,4,5,0,1,2,1,3,3,0.125,NA,0.5,"Reserve","West",1986
"Artis Gilmore","SAS","13:00",3,4,0,0,4,4,1,1,2,1,2,0,0,4,10,0.75,NA,1,"Reserve","West",1986
"Marques Johnson","LAC","13:00",3,6,0,0,0,0,2,1,3,2,0,0,1,3,6,0.5,NA,NA,"Reserve","West",1986
"Moses Malone","WSB","35:00",11,19,0,0,5,6,7,11,18,2,2,1,1,4,27,0.579,NA,0.833,"Starter","East",1987
"Larry Bird","BOS","35:00",7,18,0,3,4,4,2,4,6,5,2,0,2,5,18,0.389,0,1,"Starter","East",1987
"Julius Erving","PHI","33:00",9,13,1,1,3,3,3,1,4,5,1,1,2,3,22,0.692,1,1,"Starter","East",1987
"Michael Jordan","CHI","28:00",5,12,0,1,1,2,0,0,0,4,2,0,5,2,11,0.417,0,0.5,"Starter","East",1987
"Dominique Wilkins","ATL","24:00",3,9,0,0,4,7,3,2,5,1,0,1,2,2,10,0.333,NA,0.571,"Starter","East",1987
"Kevin McHale","BOS","30:00",7,11,0,0,2,2,4,3,7,2,0,4,0,5,16,0.636,NA,1,"Reserve","East",1987
"Isiah Thomas","DET","24:00",4,6,0,0,8,9,2,1,3,9,0,0,5,3,16,0.667,NA,0.889,"Reserve","East",1987
"Charles Barkley","PHI","16:00",2,6,0,2,3,6,1,3,4,1,1,0,0,2,7,0.333,0,0.5,"Reserve","East",1987
"Jeff Malone","WSB","13:00",3,5,0,1,0,0,1,1,2,2,0,0,1,1,6,0.6,0,NA,"Reserve","East",1987
"Bill Laimbeer","DET","11:00",4,7,0,0,0,0,0,2,2,1,1,0,0,2,8,0.571,NA,NA,"Reserve","East",1987
"Maurice Cheeks","PHI","8:00",1,2,0,0,2,2,0,0,0,0,1,0,1,1,4,0.5,NA,1,"Reserve","East",1987
"Robert Parish","BOS","8:00",2,3,0,0,0,0,0,3,3,0,0,1,0,1,4,0.667,NA,NA,"Reserve","East",1987
"Magic Johnson","LAL","34:00",4,10,0,0,1,2,1,6,7,13,4,0,1,2,9,0.4,NA,0.5,"Starter","West",1987
"Tom Chambers","SEA","29:00",13,25,2,3,6,9,3,1,4,2,4,0,3,5,34,0.52,0.667,0.667,"Starter","West",1987
"James Worthy","LAL","29:00",10,14,0,0,2,2,6,2,8,3,1,0,2,3,22,0.714,NA,1,"Starter","West",1987
"Hakeem Olajuwon","HOU","26:00",2,6,0,0,6,8,4,9,13,2,0,3,1,6,10,0.333,NA,0.75,"Starter","West",1987
"Alvin Robertson","SAS","16:00",2,5,0,0,2,2,2,0,2,1,0,0,1,1,6,0.4,NA,1,"Starter","West",1987
"Kareem Abdul-Jabbar","LAL","27:00",4,9,0,0,2,2,2,6,8,3,0,2,1,5,10,0.444,NA,1,"Reserve","West",1987
"Rolando Blackman","DAL","22:00",9,15,0,0,11,13,1,3,4,1,0,0,2,2,29,0.6,NA,0.846,"Reserve","West",1987
"Sleepy Floyd","GSW","19:00",4,7,1,3,5,7,2,3,5,1,1,0,2,2,14,0.571,0.333,0.714,"Reserve","West",1987
"Joe Barry Carroll","GSW","18:00",1,7,0,0,2,2,4,2,6,0,0,1,1,4,4,0.143,NA,1,"Reserve","West",1987
"Mark Aguirre","DAL","17:00",3,6,1,2,2,3,1,1,2,1,0,0,2,1,9,0.5,0.5,0.667,"Reserve","West",1987
"Walter Davis","PHO","15:00",3,12,1,1,0,0,2,0,2,1,0,0,0,0,7,0.25,1,NA,"Reserve","West",1987
"Alex English","DEN","13:00",0,6,0,0,0,0,0,0,0,1,0,0,2,1,0,0,NA,NA,"Reserve","West",1987
"Larry Bird","BOS","32:00",2,8,0,1,2,2,0,7,7,1,4,1,2,4,6,0.25,0,1,"Starter","East",1988
"Dominique Wilkins","ATL","30:00",12,22,0,0,5,6,1,4,5,0,0,1,0,3,29,0.545,NA,0.833,"Starter","East",1988
"Michael Jordan","CHI","29:00",17,23,0,0,6,6,3,5,8,3,4,4,2,5,40,0.739,NA,1,"Starter","East",1988
"Isiah Thomas","DET","28:00",4,10,0,0,0,0,1,1,2,15,1,0,6,1,8,0.4,NA,NA,"Starter","East",1988
"Moses Malone","WSB","22:00",2,6,0,0,3,6,5,4,9,2,0,0,2,2,7,0.333,NA,0.5,"Starter","East",1988
"Danny Ainge","BOS","19:00",4,11,3,4,1,2,1,2,3,2,1,0,1,1,12,0.364,0.75,0.5,"Reserve","East",1988
"Patrick Ewing","NYK","16:00",4,8,0,0,1,1,1,5,6,0,0,1,1,1,9,0.5,NA,1,"Reserve","East",1988
"Doc Rivers","ATL","16:00",2,4,0,0,5,11,0,3,3,6,0,0,3,3,9,0.5,NA,0.455,"Reserve","East",1988
"Brad Daugherty","CLE","15:00",6,7,0,0,0,0,0,3,3,1,0,1,0,4,12,0.857,NA,NA,"Reserve","East",1988
"Charles Barkley","PHI","15:00",1,4,0,1,2,2,1,2,3,0,1,1,3,2,4,0.25,0,1,"Reserve","East",1988
"Kevin McHale","BOS","14:00",0,1,0,0,2,2,0,1,1,1,0,2,2,2,2,0,NA,1,"Reserve","East",1988
"Maurice Cheeks","PHI","4:00",0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,NA,NA,NA,"Reserve","East",1988
